VitaSPEC;Type_Essai;Origine-Pays;Origine-PRO;Croisement;Genotype ID VitaPALM;Orgen;Station;trait;Annee Plantation;plot ;Parcelle;Ligne;Arbre;Matricule-PE;obs 19/02/25;ech;Matricule-DIADE;MF (mg);MS (mg) Silicagel;TE1 (%MF);Nb fruit;Nb copeaux;date de collecte;date de spectre (meso et exo);Note;Serie 1 Meso Amel ;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17182;PO;-;2020;11;407;18;7;PO-407-18-7-2020;M;M149;P407-L18-A7;1130;835,2;26;1;2;24/02/2025;24/02/2025;;;;
Diversite;Hybrid;CIxCameroun;La Mé x Ekona;LM 2 T AF x 2/2311T AF;;PO  15905;PO;-;2016;;333;;;PO-333-8-6-2016;;M15;333-L8-A6;913;687,2;25;1;6;25/03/2024;26/03/2024;;M15;La Mé x Ekona;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18108;PO;-;2020;6;407;36;6;PO-407-36-6-2020;M;M150;P407-L36-A6;1156;849,3;27;1;2;24/02/2025;24/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;40;10;PO-407-40-10-2020;M;M151;P407-L40-A10;1049;723,4;31;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;38;10;PO-407-38-10-2020;M;M152;P407-L38-A10;1071;809,9;24;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18177;PO;-;2020;5;407;38;5;PO-407-38-5-2020;M;M153;P407-L38-A5;1278;859,2;33;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18136;PO;-;2020;9;407;39;14;PO-407-39-14-2020;M;M154;P407-39-A14;1068;722,2;32;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18136;PO;-;2020;9;407;39;15;PO-407-39-15-2020;M;M155;P407-39-A15;863;585,5;32;1;1;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18096;PO;-;2020;4;407;38;3;PO-407-38-3-2020;PM;M156;P407-L38-A3;858;621,5;28;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;39;10;PO-407-39-10-2020;M;M157;P407-L39-A10;1055;662,3;37;1;2;25/02/2025;25/02/2025;;;;
