"ech","eau","C14.0","C16.0","C18.0","C18.1n9","C18.1n7","C18.2","C18.3","C20.0","tlip.MS","trans.alpha.carotene","trans.beta.carotene","total.trans.carotene.natif","ratio.alpha.beta","ratio.alpha.natif","ratio.beta.natif","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotene","total.carotene"
"M157",37,0.7,39.9,5.4,43.8,1.8,7.7,0.4,0.4,75.1397068187218,1238.81264696559,767.0442976352,2005.85694460079,1.61504707196814,0.617597705708839,0.382402294291161,161.011065671187,139.081477014036,1067.13684032042,2305.94948728601
"M158",26,0.7,44.8,5.3,37.7,1.9,9,0.2,0.3,83.2502458337259,125.706201753817,247.381959253025,373.088161006842,0.508146196809942,0.33693430907745,0.66306569092255,16.8847883995731,26.5174922907136,290.784239943312,416.490441697129
"M159",26,0.8,40.2,7,37.3,1.7,12,0.5,0.5,83.8431111306521,188.803473853131,316.563052799358,505.366526652489,0.596416644910225,0.37359711000994,0.62640288999006,23.4914419516857,41.6044518879225,381.658946638966,570.462420492098
"M16",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M160",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M161",37,0.6,42.2,3.9,41.4,2.2,9.1,0.3,0.3,80.6934042218778,436.17755819823,335.127248296771,771.304806495,1.30152818195187,0.565506080767639,0.434493919232361,21.4195450766683,58.4946438703912,415.04143724383,851.21899544206
"M162",24,0.523388927910313,38.7653402161818,6.15681124889446,43.5447747225174,0.560980611971292,9.76293042908956,0.270003316216038,0.415770527219173,88.031439542396,248.611080347867,247.732433210789,496.343513558656,1.00354675859632,0.500885119995604,0.499114880004396,3.00466404789237,58.4889067382032,309.226003996884,557.837084344751
"M163",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M164",37,0.7,42.1,4.3,41.1,2.4,8.9,0.2,0.2,81.7102795655443,395.436849729808,498.751144120463,894.187993850271,0.792854020269271,0.442230104239157,0.557769895760843,35.0488898029394,59.0980839433184,592.898117866721,988.334967596528
"M165",49,1.11585810684076,43.0722130373976,3.7688649608689,41.1586827623519,0.701435679183986,9.18399206248434,0.648149630281543,0.350803760590932,71.1786507897658,632.204853851801,1418.73128684307,2050.93614069488,0.445612823030475,0.308251847196766,0.691748152803234,4.54476981596104,176.71925158641,1599.99530824545,2232.20016209725
