"ech","eau","C14.0","C16.0","C18.0","C18.1n9","C18.1n7","C18.2","C18.3","C20.0","tlip.MS","trans.alpha.carotne","trans.beta.carotene","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotenes","total.carotenes"
"M275",36,0.1,26,8.2,55.8,0,9,0.4,0.5,78.5,NA,NA,NA,NA,NA,NA
"M276",44,0.3,32.5,7.6,46.5,0.8,11,0.5,0.6,NA,361,911,77,272,1259,1621
"M277",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M278",34,0.2,30.9,10.7,49.8,0.4,7.1,0.3,0.6,81.4,97,260,16,33,309,406
"M279",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M28",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M280",36,1.3,40.1,5,42.1,1.4,9.3,0.4,0.4,80.5,376,266,56,70,392,768
"M281",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M282",44,0.9,44.6,5.5,36.8,1.6,9.8,0.4,0.3,74,227,349,21,36,406,633
"M283",29,1.14448636623914,41.5342047391119,4.95212915831304,38.7874524527389,0.618963217555078,12.2288381486256,0.326533399205994,0.407392518210383,NA,NA,NA,NA,NA,NA,NA
"M284",34,0.756842493151738,42.8976166076852,4.83221737031595,42.1650706133783,0.628570896201967,8.00783169665121,0.348332603669666,0.363517718945983,NA,NA,NA,NA,NA,NA,NA
"M285",26,0.5,40.9,4.6,44.5,2.6,6.8,0.1,0.1,NA,419,251,18,55,323,742
"M286",18,0.741245659901927,41.332276158287,4.84609134413043,42.8215084284832,0.645707406268172,9.04073227015496,0.251007910772176,0.321430822002143,NA,NA,NA,NA,NA,NA,NA
"M287",37,1.46546108811478,48.1002377805515,5.08122894414995,34.7929559627733,0.536035784469542,9.33734337035149,0.324615367691973,0.3621217018975,NA,NA,NA,NA,NA,NA,NA
"M288",32,1.01048396296928,41.0148399778207,5.15971397075933,41.9098188854574,0.62528305714975,9.71840332877762,0.221437794673255,0.340019022392692,NA,NA,NA,NA,NA,NA,NA
"M289",40,0.8,41.6,4.6,40.8,2.5,9.3,0.3,0.1,80.3,NA,NA,NA,NA,NA,NA
"M29",23,0.5,43.4,4.5,44.6,0.7,5.9,0,0.4,84.1,120,140,23,49,212,332
"M290",47,1.1,42.1,4.5,40.8,2.2,8.6,0.4,0.3,74.3,302,408,34,31,473,775
"M291",31,0.698760476582477,40.7740664263844,4.65295802861793,42.5114969952775,0.624287383969343,10.1196890551274,0.255491253788029,0.363250380253024,NA,NA,NA,NA,NA,NA,NA
"M292",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M293",24,0.947812442389817,42.2043895455563,5.34735243590488,37.6302920834428,0.509647092471437,12.5032612593139,0.338066226089104,0.519178914831738,NA,NA,NA,NA,NA,NA,NA
"M294",24,NA,NA,NA,NA,NA,NA,NA,NA,83,295,314,14,25,352,647
"M295",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M296",34,0.5,40,5.7,41.4,2.1,10.1,0.2,0,84.4,165,214,11,20,244,409
"M297",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M298",20,0.881538338024721,42.4592944244122,4.4540944411868,41.0622671047756,0.630920581866943,9.95700175129365,0.209308936061174,0.345574422378952,NA,NA,NA,NA,NA,NA,NA
"M299",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M3",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M30",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M300",28,0.8,37.6,6.4,42.2,1.8,10.6,0.2,0.4,81.3,304,356,22,50,428,733
"M301",45,0.66564445858569,44.8393106668821,4.06280446332452,38.8890841389737,0.687976219631254,10.110117922389,0.412583500261927,0.332478629951838,NA,NA,NA,NA,NA,NA,NA
"M302",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M303",47,1.0904151242981,42.7298061902302,4.65579777109945,39.3351848061603,0.626963019425687,10.6888974587266,0.405875338748538,0.46706029131104,NA,NA,NA,NA,NA,NA,NA
"M304",24,0.6,41.9,5.1,39.8,1.8,10.2,0.3,0.3,85,293,215,22,36,273,566
