"ech","C14.0","C16.0","C18.0","C18.1n9","C18.2","FFA(%)","trans.alpha.carotene","trans.beta.carotene","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotene","total.carotene","lycopene","aT","aT3","gT3","dT3","total.T3","total.toco"
"21",0.558043031943199,36.1179520264438,6.60593716572884,46.8114216285834,8.32750534728335,8.84900450996092,296.204695454504,401.854211671756,52.295193246141,147.916530731989,602.065935649886,898.27063110439,10.7923136758976,162.400655086125,211.365100578205,379.401958463405,132.785821193599,723.552880235209,885.953535321334
"22",0.52037466224479,39.530390626295,5.85147911002231,42.629709724958,9.93088691420844,11.2340790783246,222.100007641398,289.789039803226,35.1496216638359,37.3026644454284,362.24132591249,584.341333553888,1.47427219038097,180.616988725416,323.712969831015,397.048160407187,98.8238843141108,819.585014552313,1000.20200327773
"23",1.33871518964565,41.3223684415319,4.6493092988422,40.3882240336757,10.3768880817305,7.64157154652561,907.59769277058,1370.41281756139,141.043508974725,273.655412734264,1785.11173927038,2692.70943204096,15.1739926816162,570.684153012406,634.095680839293,641.552507484388,162.208658822469,1437.85684714615,2008.54100015856
"24",0.83201607528791,42.3299688251255,5.24186822079804,40.3622040105375,9.53390183175887,10.8583549348972,283.079235706519,316.871318770052,55.9332728100977,126.811049988525,499.615641568675,782.694877275193,3.20603001014929,181.920560436112,295.708444437483,394.678995368636,220.778430740578,911.165870546697,1093.08643098281
"25",0.895714444122274,41.103068734341,4.82773552887226,42.4449171034388,9.0757529783673,8.22242911795488,295.181238047558,403.230343789092,57.5493423096117,164.295146472684,625.074832571388,920.256070618946,2.7869411788564,141.952325028636,297.678176821073,383.405044748848,90.3079690314962,771.391190601418,913.343515630054
"26",1.06440601335624,41.9883171495777,5.33425525712489,40.081561568443,9.52036870580702,8.78020421103776,199.467702082729,242.877701739775,31.6513231844339,157.104927275006,431.633952199216,631.101654281945,2.86918164510916,44.5692385308713,97.6791191427187,292.419604184805,116.204595382614,506.303318710138,550.872557241009
"27",0.700029017420656,41.6613117231783,5.72482500825801,40.9590370997631,9.44426621925181,10.0792289931071,223.892454146076,260.073701439417,38.8085831227735,111.182100715407,410.064385277597,633.956839423674,3.74848299567548,74.0355230844117,118.669271766553,245.275423074356,119.42009322438,483.36478806529,557.400311149702
"28",0.762100938030045,41.8591081615797,5.30395844601416,40.2785131928279,10.2348402145517,11.3456122941311,204.255033185937,264.69017581721,31.599606824626,100.960855090364,397.2506377322,601.505670918137,2.94619594519128,185.693784213655,273.745283504169,342.212739951257,85.5376050009436,701.49562845637,887.189412670025
"29",0.602222693807377,37.8417279185146,5.55180912427811,45.4841480497205,8.86312177795992,8.08003206474189,191.854452914117,245.801464324009,49.2419404985652,96.9210078706601,391.964412693235,583.818865607352,0,198.674608951581,211.489831614063,348.469921970624,145.34177327575,705.301526860436,903.976135812017
"30",0.63850139468169,40.3428350447304,5.60492908098826,42.8976999798315,8.95894356092107,7.79667674211858,119.368636315574,153.584023165374,24.2890408102645,81.1863159327775,259.059379908416,378.42801622399,0.925869202149196,250.278473452096,332.931985693639,563.460207805879,144.364046888037,1040.75624038755,1291.03471383965
"31",1.0230197497528,42.5772550267751,5.16158361153972,39.672653867797,10.1512092328781,6.15045538085843,93.1645171073844,89.9715210956451,20.4104938400381,63.7613693046488,174.143384240332,267.307901347716,0,121.615530468297,262.225995804454,323.03309068709,78.6446241183173,663.903710609861,785.519241078158
"32",0.634850028830663,38.6529543168196,5.72367717965684,44.0032839352796,9.45096112867315,6.21702942802178,93.6959059941582,101.548218606713,17.8858947491386,78.3179361308528,197.752049486705,291.447955480863,0,234.967339403846,317.28657917753,403.141090651817,71.9648225162032,792.392492345551,1027.3598317494
"33",0.726678084065158,39.6422321941707,6.03704988843156,41.0407004586983,11.0628708018304,12.7960557107423,144.091030581664,256.867286019587,38.060772104061,60.3047041373772,355.232762261025,499.323792842689,1.846423229249,135.117982413371,192.430122979963,392.124748606664,57.3992192197266,641.954090806353,777.072073219724
"35",0.649244760581718,37.5455897405045,5.83167907154764,43.6342800220143,10.71366852232,11.4821786516193,231.948941011687,338.267230429178,67.1118737570134,88.5188297472861,493.897933933478,725.846874945166,1.27602409724583,166.782698654316,296.773771028174,436.829909884692,55.1654409817759,788.769121894642,955.551820548958
"36",1.05996453807702,40.9391076929799,5.07370840684213,41.5585726870295,9.47264601745276,6.56900407192938,798.746062042399,1255.1312103612,145.754061988942,297.92817176038,1698.81344411052,2497.55950615292,13.9180532340129,426.047867242765,408.566440886809,335.024403745873,80.8210810077073,824.411925640389,1250.45979288315
"37",1.09122603157109,40.6817786005535,5.10030875398003,41.6058534208769,9.61851604484443,6.70996402164272,487.376004873547,639.136440351302,113.494090415047,305.199047890334,1057.82957865668,1545.20558353023,15.7194901841763,521.404539621496,472.945640809737,377.943350031991,88.3481319567294,939.237122798457,1460.64166241995
"38",0.991437552983139,41.4401137260386,5.32430587381078,41.7296856611301,8.93714835142087,7.68832655946787,444.830722187394,484.137006565535,112.487595835686,238.377943332551,835.002545733773,1279.83326792117,6.37307077652642,271.786411386189,269.720981493341,234.70403703682,0,504.425018530161,776.21142991635
"39",0.462932056142392,38.842418270062,4.43399905243473,44.9722557455918,9.64518215569604,NA,437.216936572392,556.515480709944,61.0858804980115,149.940871923877,767.542233131832,1204.75916970422,2.90466353370592,185.851777101203,368.639876172132,447.940412432956,162.501537521967,979.081826127054,1164.93360322826
"40",0.7723327243189,42.2581153915379,4.76467842383797,42.3220893299369,8.24362452915074,2.69252623718307,513.266267801989,725.393580992866,106.663011261091,243.020392041894,1075.07698429585,1588.34325209784,5.04970840314485,278.716548427491,411.391868761146,427.171896419234,72.3232082216776,910.886973402058,1189.60352182955
"41",0.960189077657559,41.1354738877894,5.07043480910426,41.3372805603097,9.64768701952316,12.1392734075122,417.253677414662,652.536940988258,75.2798925825477,197.770840373097,925.587673943903,1342.84135135857,9.33016386274352,284.692318776669,287.275843639832,341.111110969523,63.5054096804194,691.892364289774,976.584683066443
"42",0.943569408321839,43.4119762783564,5.05996602699402,38.2076357395267,10.5289076926635,15.6370087861766,750.177833037835,1022.20721214604,66.0748516007557,240.164881845772,1328.44694559256,2078.6247786304,9.77570464064916,206.588945695672,274.53721005532,280.469962590475,15.7489626638314,570.756135309627,777.345081005298
"43",0.932528969471105,42.8778325918153,4.82209880666521,39.4445463478829,10.1344514682311,15.1040475898932,442.582710081673,634.50796783275,94.893497582084,116.02974060572,845.431206020555,1288.01391610223,5.93328973563626,343.259305770307,511.254539745604,386.856769435272,430.311771802858,1328.42308098373,1671.68238675404
"44",1.17786903908065,41.8801571080994,4.73890604800825,40.7467447869367,9.63747944658736,9.64142510963582,503.00565892357,809.79718755019,97.1765050845091,169.998228110899,1076.9719207456,1579.97757966917,7.22392736641904,294.876005057078,354.065081954174,320.508568227266,27.6288395235698,702.20248970501,997.078494762088
"45",1.09518710048347,43.1966935272559,5.28008426366682,39.4538205242472,9.22127459060199,10.9515360466173,332.159283616622,474.1655193978,82.5235519775145,160.907783806181,717.596855181496,1049.75613879812,4.51194793506884,11.1406822398868,20.8596555537478,118.309272045608,0,139.168927599356,150.309609839243
"46",0.681830024153529,39.6665059936205,5.37151873751092,43.2443339656615,9.48606949315678,9.52776899611944,189.07309842437,220.349184331862,30.5486784609092,68.0439224548032,318.941785247574,508.014883671944,0.884914482306891,152.77007327749,196.048648445344,327.913568442647,95.3816654771254,619.343882365117,772.113955642607
"47",1.12637024059968,42.98358463253,5.34146263194523,38.784862355063,9.95486108956263,15.1345250716721,543.092011300989,835.849670345425,124.164599680588,175.327395275331,1135.34166530134,1678.43367660233,14.1326318644485,287.66151628168,307.690498918869,309.381671832211,96.6456049339281,713.717775685008,1001.37929196669
